episode,avg_reward
1,5.0
2,5.0
3,-3.333
4,-1.75
5,-0.4
6,-2.0
7,-4.857
8,-3.75
9,-3.111
10,-2.4
11,-1.818
12,-2.583
13,-2.154
14,-1.786
15,-1.4
16,-1.062
17,-0.765
18,-0.5
19,-0.263
20,-0.05
21,0.143
22,-0.364
23,-0.217
24,-0.667
25,-1.12
26,-0.962
27,-0.815
28,-0.679
29,-0.552
30,-0.467
31,-0.355
32,-0.219
33,-0.061
34,-0.647
35,-1.229
36,-1.056
37,-1.568
38,-1.447
39,-1.308
40,-1.8
41,-1.683
42,-1.571
43,-1.465
44,-1.364
45,-1.267
46,-1.13
47,-1.319
48,-1.229
49,-1.143
50,-1.54
51,-1.451
52,-1.846
53,-1.755
54,-1.685
55,-1.6
56,-1.518
57,-1.456
58,-1.397
59,-1.339
60,-1.667
61,-1.836
62,-1.774
63,-1.714
64,-1.656
65,-1.815
66,-1.727
67,-1.672
68,-1.618
69,-1.899
70,-1.814
71,-1.732
72,-1.889
73,-1.836
74,-1.784
75,-2.053
76,-2.197
77,-2.442
78,-2.705
79,-2.646
80,-2.888
81,-2.852
82,-2.793
83,-2.747
84,-2.679
85,-2.612
86,-2.547
87,-2.483
88,-2.705
89,-2.663
90,-2.9
91,-3.121
92,-3.217
93,-3.183
94,-3.298
95,-3.474
96,-3.406
97,-3.629
98,-3.561
99,-3.495
100,-3.62
101,-3.554
102,-3.755
103,-3.689
104,-3.635
105,-3.6
106,-3.566
107,-3.533
108,-3.5
109,-3.44
110,-3.382
111,-3.315
112,-3.25
113,-3.221
114,-3.158
115,-3.096
116,-3.034
117,-3.188
118,-3.153
119,-3.092
120,-3.033
121,-3.099
122,-3.066
123,-3.138
124,-3.129
125,-3.104
126,-3.079
127,-3.039
128,-3.203
129,-3.178
130,-3.154
131,-3.115
132,-3.091
133,-3.053
134,-3.015
135,-2.97
136,-3.029
137,-3.168
138,-3.145
139,-3.122
140,-3.1
141,-3.184
142,-3.148
143,-3.28
144,-3.243
145,-3.207
146,-3.356
147,-3.34
148,-3.459
149,-3.423
150,-3.373
151,-3.325
152,-3.276
153,-3.242
154,-3.195
155,-3.142
156,-3.09
157,-3.134
158,-3.278
159,-3.421
160,-3.375
161,-3.329
162,-3.284
163,-3.233
164,-3.274
165,-3.23
166,-3.187
167,-3.234
168,-3.19
169,-3.296
170,-3.276
171,-3.257
172,-3.227
173,-3.197
