episode,avg_reward
1,5.0
2,-8.5
3,-12.333
4,-8.0
5,-5.4
6,-3.667
7,-2.429
8,-1.5
9,-0.778
10,-2.7
11,-2.0
12,-2.667
13,-2.077
14,-1.643
15,-2.2
16,-1.75
17,-2.294
18,-1.889
19,-2.316
20,-2.0
21,-2.905
22,-2.682
23,-2.435
24,-2.208
25,-2.0
26,-1.808
27,-2.185
28,-2.821
29,-2.655
30,-2.433
31,-2.29
32,-2.125
33,-1.939
34,-1.824
35,-1.686
36,-1.556
37,-1.432
38,-1.316
39,-1.205
40,-1.7
41,-1.561
42,-1.429
43,-1.326
44,-1.795
45,-1.667
46,-1.87
47,-2.255
48,-2.146
49,-2.041
50,-2.44
51,-2.333
52,-2.231
53,-2.377
54,-2.537
55,-2.436
56,-2.75
57,-2.667
58,-2.586
59,-2.508
60,-2.667
61,-2.59
62,-2.5
63,-2.476
64,-2.406
65,-2.338
66,-2.273
67,-2.194
68,-2.5
69,-2.42
70,-2.357
71,-2.282
72,-2.208
73,-2.137
74,-2.068
75,-2.013
76,-1.961
77,-1.896
78,-2.141
79,-2.076
80,-2.013
81,-1.951
82,-1.866
83,-1.807
84,-1.726
85,-1.824
86,-1.744
87,-1.69
88,-1.784
89,-1.708
90,-1.667
91,-1.758
92,-1.685
93,-1.645
94,-1.574
95,-1.663
96,-1.594
97,-1.794
98,-1.724
99,-1.657
100,-1.59
101,-1.525
102,-1.608
103,-1.544
104,-1.481
105,-1.419
106,-1.358
107,-1.299
108,-1.241
109,-1.183
110,-1.127
111,-1.207
112,-1.152
113,-1.097
114,-1.044
115,-0.991
116,-0.94
117,-0.889
118,-0.839
119,-0.79
120,-0.742
121,-0.694
122,-0.77
123,-0.724
124,-0.677
125,-0.632
126,-0.587
127,-0.543
128,-0.617
129,-0.574
130,-0.646
131,-0.718
132,-0.674
133,-0.654
134,-0.612
135,-0.681
136,-0.64
137,-0.613
138,-0.681
139,-0.64
140,-0.8
141,-0.865
142,-0.93
143,-0.895
144,-0.979
145,-0.952
146,-0.925
147,-0.905
148,-0.885
149,-0.96
150,-0.933
151,-1.013
152,-1.158
153,-1.131
154,-1.104
155,-1.09
156,-1.179
