episode,avg_reward
1,3.0
2,4.0
3,4.0
4,0.5
5,-5.6
6,-8.0
7,-9.714
8,-11.0
9,-9.222
10,-7.8
11,-8.909
12,-9.833
13,-8.692
14,-9.5
15,-10.2
16,-10.25
17,-10.235
18,-9.389
19,-9.947
20,-9.95
21,-9.238
22,-9.273
23,-9.304
24,-9.333
25,-9.36
26,-8.808
27,-8.296
28,-7.821
29,-7.897
30,-7.467
31,-7.065
32,-6.688
33,-6.333
34,-6.441
35,-6.543
36,-6.222
37,-6.324
38,-6.026
39,-6.128
40,-6.225
41,-6.317
42,-6.048
43,-5.791
44,-5.886
45,-5.978
46,-5.739
47,-5.511
48,-5.292
49,-5.592
50,-5.38
51,-5.176
52,-4.981
53,-4.792
54,-4.611
55,-4.436
56,-4.268
57,-4.123
58,-4.224
59,-4.322
60,-4.167
61,-4.016
62,-4.113
63,-3.968
64,-3.828
65,-3.692
66,-3.561
67,-3.433
68,-3.529
69,-3.623
70,-3.5
71,-3.394
72,-3.278
73,-3.37
74,-3.257
75,-3.347
76,-3.237
77,-3.13
78,-3.038
79,-2.937
80,-2.838
81,-2.926
82,-2.829
83,-2.735
84,-2.643
85,-2.553
86,-2.465
87,-2.379
88,-2.295
89,-2.213
90,-2.133
91,-2.22
92,-2.141
93,-2.065
94,-1.989
95,-1.916
96,-1.844
97,-1.928
98,-1.857
99,-1.788
100,-1.87
101,-1.802
102,-1.735
103,-1.67
104,-1.606
105,-1.543
106,-1.623
107,-1.561
108,-1.639
109,-1.578
110,-1.655
111,-1.595
112,-1.536
113,-1.478
114,-1.421
115,-1.496
116,-1.44
117,-1.385
118,-1.331
119,-1.403
120,-1.475
121,-1.545
122,-1.615
123,-1.683
124,-1.629
125,-1.576
126,-1.643
127,-1.591
128,-1.656
129,-1.721
130,-1.785
131,-1.733
132,-1.682
133,-1.744
134,-1.694
135,-1.644
136,-1.706
137,-1.657
138,-1.609
139,-1.669
140,-1.621
141,-1.574
142,-1.528
143,-1.587
144,-1.646
145,-1.6
146,-1.555
147,-1.51
148,-1.568
149,-1.624
150,-1.58
151,-1.536
152,-1.493
153,-1.549
154,-1.604
155,-1.658
156,-1.615
157,-1.573
158,-1.532
159,-1.585
160,-1.544
161,-1.503
162,-1.463
163,-1.515
164,-1.476
165,-1.527
166,-1.488
167,-1.449
168,-1.5
169,-1.55
170,-1.512
171,-1.474
172,-1.436
173,-1.399
174,-1.362
175,-1.411
176,-1.46
177,-1.508
178,-1.472
179,-1.436
180,-1.539
181,-1.503
182,-1.555
183,-1.519
184,-1.565
185,-1.611
186,-1.71
187,-1.674
188,-1.718
189,-1.683
190,-1.647
191,-1.613
192,-1.708
193,-1.751
194,-1.716
195,-1.682
196,-1.648
197,-1.614
198,-1.657
199,-1.698
200,-1.665
201,-1.706
202,-1.748
203,-1.714
204,-1.681
205,-1.771
206,-1.811
207,-1.85
208,-1.817
209,-1.785
210,-1.824
211,-1.863
212,-1.901
213,-1.939
214,-1.907
215,-1.874
216,-1.912
217,-1.949
218,-1.917
219,-1.886
220,-1.855
221,-1.824
222,-1.793
223,-1.762
224,-1.732
225,-1.702
226,-1.677
227,-1.714
228,-1.684
229,-1.659
230,-1.63
231,-1.602
232,-1.573
233,-1.545
234,-1.517
235,-1.489
236,-1.462
237,-1.435
238,-1.471
239,-1.444
240,-1.417
241,-1.39
242,-1.364
243,-1.337
244,-1.373
245,-1.347
246,-1.382
247,-1.457
248,-1.431
249,-1.406
250,-1.38
251,-1.414
252,-1.389
253,-1.423
254,-1.398
255,-1.373
256,-1.348
257,-1.381
258,-1.357
259,-1.332
260,-1.365
261,-1.341
262,-1.317
263,-1.35
264,-1.326
265,-1.362
266,-1.338
267,-1.408
268,-1.44
269,-1.472
270,-1.448
271,-1.48
272,-1.456
273,-1.432
274,-1.464
275,-1.495
276,-1.471
277,-1.451
278,-1.432
279,-1.409
280,-1.386
281,-1.416
282,-1.394
283,-1.371
284,-1.349
285,-1.326
286,-1.304
287,-1.334
288,-1.316
289,-1.294
290,-1.272
291,-1.337
292,-1.366
293,-1.345
294,-1.323
295,-1.302
296,-1.28
297,-1.259
298,-1.238
299,-1.217
300,-1.247
301,-1.276
302,-1.305
303,-1.333
304,-1.362
305,-1.341
306,-1.369
307,-1.397
308,-1.425
309,-1.405
310,-1.384
311,-1.363
312,-1.391
313,-1.419
314,-1.398
315,-1.378
316,-1.358
317,-1.338
318,-1.318
319,-1.345
320,-1.325
321,-1.352
322,-1.379
323,-1.406
324,-1.386
325,-1.366
326,-1.347
327,-1.327
328,-1.308
329,-1.365
330,-1.391
331,-1.372
332,-1.352
333,-1.333
334,-1.314
335,-1.296
336,-1.321
337,-1.303
338,-1.284
339,-1.265
340,-1.291
341,-1.273
342,-1.298
343,-1.28
344,-1.262
345,-1.287
346,-1.269
347,-1.251
348,-1.233
349,-1.215
350,-1.24
351,-1.265
352,-1.247
353,-1.229
354,-1.254
355,-1.279
356,-1.261
357,-1.286
358,-1.268
359,-1.251
360,-1.233
361,-1.216
362,-1.268
363,-1.251
364,-1.275
365,-1.299
366,-1.281
367,-1.264
368,-1.288
369,-1.271
370,-1.254
371,-1.278
372,-1.301
373,-1.284
374,-1.267
375,-1.251
376,-1.234
377,-1.257
378,-1.241
379,-1.224
380,-1.208
381,-1.192
382,-1.175
383,-1.159
384,-1.208
385,-1.192
386,-1.176
387,-1.16
388,-1.144
389,-1.17
390,-1.154
391,-1.138
392,-1.122
393,-1.145
394,-1.168
395,-1.19
396,-1.174
397,-1.159
398,-1.143
399,-1.128
400,-1.112
401,-1.097
402,-1.082
403,-1.067
404,-1.052
405,-1.074
406,-1.059
407,-1.044
408,-1.029
409,-1.051
410,-1.037
411,-1.058
412,-1.044
413,-1.065
414,-1.051
415,-1.036
416,-1.022
417,-1.007
418,-0.993
419,-0.979
420,-0.964
421,-0.986
422,-0.972
423,-0.957
424,-0.979
425,-0.965
426,-0.951
427,-0.972
428,-0.993
429,-0.979
430,-0.965
431,-0.951
432,-0.972
433,-0.993
434,-0.982
435,-0.968
436,-0.954
437,-0.975
438,-0.963
439,-0.95
440,-0.936
441,-0.923
442,-0.91
443,-0.93
444,-0.95
445,-0.937
446,-0.98
447,-0.966
448,-0.953
449,-0.94
450,-0.96
451,-0.947
452,-0.967
453,-0.954
454,-0.941
455,-0.96
456,-0.947
457,-0.934
458,-0.921
459,-0.941
460,-0.928
461,-0.915
462,-0.903
463,-0.89
464,-0.877
465,-0.865
466,-0.852
467,-0.839
468,-0.859
469,-0.878
470,-0.866
471,-0.885
472,-0.873
473,-0.86
474,-0.88
475,-0.899
476,-0.887
477,-0.874
478,-0.862
479,-0.85
480,-0.869
481,-0.857
482,-0.876
483,-0.863
484,-0.882
485,-0.901
486,-0.889
487,-0.908
488,-0.895
489,-0.883
490,-0.871
491,-0.89
492,-0.878
493,-0.866
494,-0.854
495,-0.842
496,-0.861
497,-0.879
498,-0.867
499,-0.858
500,-0.846
501,-0.834
502,-0.823
503,-0.811
504,-0.8
505,-0.818
506,-0.806
507,-0.824
508,-0.813
509,-0.802
510,-0.79
511,-0.779
512,-0.797
513,-0.786
514,-0.774
515,-0.763
516,-0.783
517,-0.801
518,-0.819
519,-0.807
520,-0.825
521,-0.814
522,-0.803
523,-0.792
524,-0.809
525,-0.798
526,-0.816
527,-0.805
528,-0.822
529,-0.811
530,-0.8
531,-0.817
532,-0.806
533,-0.824
534,-0.813
535,-0.802
536,-0.819
537,-0.836
538,-0.853
539,-0.87
540,-0.887
541,-0.904
542,-0.893
543,-0.91
544,-0.899
545,-0.888
546,-0.877
547,-0.867
548,-0.856
549,-0.872
550,-0.862
551,-0.897
552,-0.886
553,-0.902
554,-0.892
555,-0.881
556,-0.897
557,-0.887
558,-0.876
559,-0.866
560,-0.855
561,-0.845
562,-0.861
563,-0.877
564,-0.894
565,-0.91
566,-0.899
567,-0.889
568,-0.879
569,-0.895
570,-0.886
571,-0.876
572,-0.865
573,-0.881
574,-0.871
575,-0.861
