episode,avg_reward
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,2.5
102,-1.667
103,0.0
104,1.0
105,1.667
106,2.143
107,0.625
108,1.111
109,1.5
110,1.818
111,2.083
112,2.308
113,2.5
114,2.667
115,2.812
116,2.059
117,2.222
118,2.368
119,1.75
120,1.905
121,2.045
122,2.174
123,2.292
124,2.4
125,2.5
126,2.593
127,2.679
128,2.759
129,2.333
130,2.419
131,2.031
132,2.121
133,2.206
134,1.857
135,1.944
136,2.027
137,2.105
138,2.179
139,1.875
140,1.951
141,1.667
142,1.744
143,1.477
144,1.556
145,1.63
146,1.383
147,1.458
148,1.224
149,1.3
150,1.373
151,1.442
152,1.226
153,1.296
154,1.364
155,1.161
156,1.228
157,1.034
158,0.847
159,0.917
160,0.738
161,0.806
162,0.873
163,0.938
164,1.0
165,1.061
166,1.119
167,0.956
168,0.797
169,0.857
170,0.915
171,0.972
172,0.822
173,0.878
174,0.933
175,0.987
176,1.039
177,0.897
178,0.759
179,0.812
180,0.864
181,0.915
182,0.783
183,0.833
184,0.882
185,0.93
186,0.805
187,0.852
188,0.73
189,0.611
190,0.659
191,0.707
192,0.753
193,0.798
194,0.842
195,0.885
196,0.928
197,0.816
198,0.859
199,0.75
200,0.644
