episode,avg_reward
1,4.0
2,4.5
3,4.333
4,4.5
5,4.4
6,4.5
7,4.429
8,4.5
9,1.778
10,2.1
11,1.0
12,1.333
13,0.462
14,0.786
15,-0.6
16,-1.188
17,-1.706
18,-1.333
19,-2.263
20,-2.25
21,-3.095
22,-3.864
23,-4.565
24,-4.167
25,-4.8
26,-4.423
27,-5.0
28,-5.536
29,-6.034
30,-5.667
31,-6.129
32,-6.562
33,-6.97
34,-6.618
35,-6.286
36,-5.972
37,-6.081
38,-6.184
39,-5.897
40,-6.0
41,-5.732
42,-5.476
43,-5.233
44,-5.341
45,-5.444
46,-5.217
47,-5.319
48,-5.104
49,-4.898
50,-5.0
51,-4.804
52,-4.904
53,-5.0
54,-4.815
55,-4.909
56,-5.0
57,-5.088
58,-4.914
59,-4.746
60,-4.833
61,-4.918
62,-4.758
63,-4.841
64,-4.922
65,-4.769
66,-4.621
67,-4.493
68,-4.75
69,-4.826
70,-4.686
71,-4.549
72,-4.417
73,-4.288
74,-4.162
75,-4.24
76,-4.118
77,-4.0
78,-3.923
79,-4.0
80,-3.888
81,-3.778
82,-3.671
83,-3.566
84,-3.464
85,-3.541
86,-3.442
87,-3.517
88,-3.705
89,-3.607
90,-3.689
91,-3.593
92,-3.663
93,-3.57
94,-3.479
95,-3.389
96,-3.458
97,-3.526
98,-3.439
99,-3.505
100,-3.42
101,-3.337
102,-3.255
103,-3.175
104,-3.096
105,-3.162
106,-3.236
107,-3.159
108,-3.083
109,-3.009
110,-3.082
111,-3.009
112,-2.938
113,-2.876
114,-2.807
115,-2.87
116,-2.931
117,-2.863
118,-2.924
119,-2.857
120,-2.917
121,-2.851
122,-2.91
123,-2.846
124,-2.903
125,-2.84
126,-2.778
127,-2.717
128,-2.656
129,-2.597
130,-2.654
131,-2.595
132,-2.538
133,-2.481
134,-2.425
135,-2.378
136,-2.324
137,-2.27
138,-2.217
139,-2.273
140,-2.329
141,-2.383
142,-2.331
143,-2.385
144,-2.333
145,-2.283
146,-2.404
147,-2.354
148,-2.405
149,-2.356
150,-2.307
151,-2.258
152,-2.211
153,-2.268
154,-2.318
155,-2.277
156,-2.231
157,-2.185
158,-2.297
159,-2.252
160,-2.206
161,-2.161
162,-2.117
163,-2.074
164,-2.183
165,-2.139
166,-2.187
167,-2.144
168,-2.101
169,-2.059
170,-2.018
171,-1.977
172,-1.936
173,-1.896
174,-1.856
175,-1.903
176,-1.864
177,-1.825
178,-1.787
179,-1.749
180,-1.711
181,-1.757
182,-1.72
183,-1.765
184,-1.81
185,-1.773
186,-1.817
187,-1.861
188,-1.824
189,-1.868
190,-1.837
191,-1.88
192,-1.844
193,-1.938
194,-1.902
195,-1.867
196,-1.832
197,-1.797
198,-1.838
199,-1.804
200,-1.77
201,-1.736
202,-1.703
203,-1.744
204,-1.711
205,-1.678
206,-1.646
