episode,avg_reward
1,4.0
2,4.0
3,4.0
4,4.0
5,4.0
6,4.0
7,4.0
8,4.0
9,2.111
10,2.2
11,2.364
12,2.25
13,2.385
14,1.429
15,1.6
16,1.75
17,1.0
18,1.167
19,1.316
20,1.45
21,1.571
22,1.5
23,1.522
24,1.625
25,1.12
26,1.231
27,0.778
28,0.893
29,1.0
30,1.1
31,0.581
32,0.562
33,0.212
34,-0.118
35,0.0
36,0.111
37,-0.541
38,-0.421
39,-0.308
40,-0.225
41,-0.171
42,-0.095
43,-0.023
44,-0.045
45,0.044
46,-0.239
47,-0.149
48,-0.375
49,-0.327
50,-0.24
51,-0.451
52,-0.404
53,-0.604
54,-0.519
55,-0.473
56,-0.411
57,-0.333
58,-0.293
59,-0.475
60,-0.4
61,-0.328
62,-0.258
63,-0.635
64,-0.594
65,-0.523
66,-0.47
67,-0.418
68,-0.353
69,-0.319
70,-0.257
71,-0.268
72,-0.236
73,-0.384
74,-0.324
75,-0.28
76,-0.224
77,-0.195
78,-0.474
79,-0.608
80,-0.55
81,-0.494
82,-0.476
83,-0.446
84,-0.393
85,-0.353
86,-0.314
87,-0.276
88,-0.227
89,-0.18
90,-0.3
91,-0.253
92,-0.413
93,-0.366
94,-0.33
95,-0.326
96,-0.302
97,-0.278
98,-0.245
99,-0.212
100,-0.32
101,-0.277
102,-0.235
103,-0.447
104,-0.404
105,-0.381
106,-0.34
107,-0.299
108,-0.259
109,-0.22
110,-0.182
111,-0.171
112,-0.134
113,-0.097
114,-0.061
115,-0.026
116,0.009
117,0.043
118,0.076
119,0.109
120,0.017
121,0.05
122,0.082
123,0.114
124,0.145
125,0.12
126,0.151
127,0.173
128,0.172
129,0.202
130,0.231
131,0.26
132,0.288
133,0.316
134,0.216
135,0.244
136,0.272
137,0.19
138,0.21
139,0.237
140,0.2
141,0.227
142,0.246
143,0.266
144,0.292
145,0.31
146,0.233
147,0.259
148,0.182
149,0.208
150,0.233
151,0.258
152,0.283
153,0.301
154,0.156
155,0.181
156,0.199
157,0.223
158,0.247
