episode,avg_reward
1,2.0
2,-4.0
3,-6.667
4,-10.0
5,-7.0
6,-5.0
7,-7.143
8,-5.625
9,-4.444
10,-3.5
11,-2.727
12,-2.167
13,-3.538
14,-2.929
15,-4.067
16,-3.5
17,-3.0
18,-3.944
19,-4.263
20,-3.8
21,-3.524
22,-3.136
23,-3.435
24,-4.125
25,-3.8
26,-3.462
27,-4.111
28,-3.786
29,-3.483
30,-4.067
31,-3.774
32,-4.281
33,-4.455
34,-4.647
35,-4.371
36,-4.139
37,-4.324
38,-4.737
39,-4.538
40,-4.3
41,-4.439
42,-4.571
43,-4.349
44,-4.727
45,-4.511
46,-4.63
47,-4.745
48,-5.062
49,-4.857
50,-4.66
51,-4.471
52,-4.769
53,-4.623
54,-4.741
55,-4.564
56,-4.839
57,-5.123
58,-4.948
59,-4.78
60,-4.617
61,-4.459
62,-4.306
63,-4.175
64,-4.266
65,-4.123
66,-4.364
67,-4.239
68,-4.118
69,-4.217
70,-4.086
71,-3.972
72,-4.056
73,-3.932
74,-4.162
75,-4.24
76,-4.461
77,-4.338
78,-4.551
79,-4.747
80,-4.638
81,-4.84
82,-4.768
83,-4.952
84,-4.833
85,-4.718
86,-4.605
87,-4.517
88,-4.58
89,-4.64
90,-4.811
91,-5.011
92,-5.196
93,-5.247
94,-5.17
95,-5.326
96,-5.385
97,-5.433
98,-5.327
99,-5.222
100,-5.12
101,-5.277
102,-5.186
103,-5.33
104,-5.231
105,-5.143
106,-5.283
107,-5.196
108,-5.111
109,-5.266
110,-5.173
111,-5.225
112,-5.375
113,-5.531
114,-5.658
115,-5.565
116,-5.474
117,-5.513
118,-5.432
119,-5.345
120,-5.275
121,-5.397
122,-5.311
123,-5.228
124,-5.347
125,-5.28
126,-5.214
127,-5.134
128,-5.062
129,-4.984
130,-4.908
131,-4.832
132,-4.955
133,-4.992
134,-4.918
135,-4.844
136,-4.971
137,-4.898
138,-4.833
139,-4.77
140,-4.714
141,-4.645
142,-4.577
143,-4.517
144,-4.451
145,-4.497
146,-4.432
147,-4.537
148,-4.473
149,-4.409
150,-4.527
151,-4.464
152,-4.408
153,-4.51
154,-4.61
155,-4.561
156,-4.66
157,-4.783
158,-4.823
159,-4.761
160,-4.856
161,-4.795
162,-4.889
163,-4.84
164,-4.78
165,-4.818
166,-4.916
167,-4.946
168,-4.887
169,-4.834
170,-4.924
171,-4.871
172,-4.965
173,-5.058
174,-5.092
175,-5.034
176,-5.068
177,-5.017
178,-4.961
179,-4.905
180,-4.856
181,-4.801
182,-4.747
183,-4.694
184,-4.641
185,-4.595
186,-4.543
187,-4.626
188,-4.654
189,-4.608
190,-4.558
191,-4.644
192,-4.672
193,-4.699
194,-4.778
195,-4.81
196,-4.888
197,-4.97
198,-5.01
199,-4.96
200,-4.91
