episode,avg_reward
1,-11.0
2,-3.0
3,-0.667
4,0.75
5,-3.4
6,-6.167
7,-4.571
8,-3.375
9,-5.222
10,-4.2
11,-4.727
12,-5.167
13,-5.615
14,-5.143
15,-6.2
16,-5.625
17,-6.471
18,-5.944
19,-5.421
20,-4.9
21,-5.667
22,-5.182
23,-5.391
24,-4.958
25,-5.64
26,-6.192
27,-5.778
28,-5.929
29,-6.069
30,-5.767
31,-5.484
32,-5.219
33,-4.97
34,-4.735
35,-4.943
36,-4.722
37,-4.459
38,-4.947
39,-4.692
40,-4.825
41,-4.585
42,-4.405
43,-4.767
44,-5.114
45,-4.933
46,-4.761
47,-4.617
48,-4.458
49,-4.286
50,-4.18
51,-4.51
52,-4.346
53,-4.208
54,-4.056
55,-3.909
56,-3.804
57,-3.667
58,-3.534
59,-3.407
60,-3.3
61,-3.459
62,-3.581
63,-3.937
64,-4.062
65,-4.369
66,-4.258
67,-4.149
68,-4.029
69,-3.913
70,-3.8
71,-3.69
72,-3.583
73,-3.479
74,-3.378
75,-3.28
76,-3.211
77,-3.117
78,-3.026
79,-2.937
80,-2.838
81,-2.753
82,-2.963
83,-2.867
84,-2.786
85,-2.694
86,-2.605
87,-2.69
88,-2.886
89,-3.079
90,-3.289
91,-3.242
92,-3.185
93,-3.129
94,-3.064
95,-3.011
96,-2.958
97,-2.897
98,-2.837
99,-2.939
100,-2.9
101,-2.822
102,-2.784
103,-2.709
104,-2.635
105,-2.705
106,-2.632
107,-2.589
108,-2.519
109,-2.45
110,-2.382
111,-2.315
112,-2.384
113,-2.451
114,-2.412
115,-2.374
116,-2.328
117,-2.291
118,-2.449
119,-2.387
120,-2.45
121,-2.388
122,-2.328
123,-2.268
124,-2.21
125,-2.272
126,-2.214
127,-2.157
128,-2.219
129,-2.163
130,-2.223
131,-2.282
132,-2.417
133,-2.571
134,-2.537
135,-2.504
136,-2.449
137,-2.416
138,-2.362
139,-2.446
140,-2.393
141,-2.518
142,-2.465
143,-2.427
144,-2.549
145,-2.669
146,-2.651
147,-2.796
148,-2.743
149,-2.705
150,-2.653
151,-2.603
152,-2.651
