episode,avg_reward
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,2.5
102,2.667
103,2.75
104,2.8
105,2.5
106,2.571
107,2.375
108,2.444
109,2.5
110,2.545
111,2.583
112,2.385
113,2.429
114,2.333
115,2.375
116,2.294
117,0.833
118,0.947
119,1.0
120,1.0
121,1.091
122,1.087
123,1.167
124,1.28
125,1.308
126,1.407
127,0.964
128,0.966
129,1.033
130,1.065
131,0.688
132,0.758
133,0.824
134,0.8
135,0.861
136,0.892
137,0.947
138,1.051
139,0.45
140,0.561
141,0.071
142,-0.395
143,-0.682
144,-1.0
145,-0.913
146,-0.851
147,-1.333
148,-1.204
149,-1.12
150,-1.0
151,-0.885
152,-0.774
153,-0.944
154,-0.836
155,-0.768
156,-0.667
157,-0.828
158,-0.729
159,-0.683
160,-0.836
161,-0.742
162,-0.714
163,-0.625
164,-0.615
165,-0.53
166,-0.672
167,-0.588
168,-0.536
169,-0.671
170,-0.803
171,-0.778
172,-0.726
173,-0.716
174,-0.667
175,-0.921
176,-0.896
177,-0.846
178,-0.797
179,-1.062
180,-1.0
181,-0.951
182,-0.892
183,-1.012
184,-1.129
185,-1.081
186,-1.069
187,-1.0
188,-0.955
189,-1.056
190,-1.154
191,-1.109
192,-1.226
193,-1.213
194,-1.147
195,-1.083
196,-1.021
197,-0.959
198,-0.899
199,-0.84
200,-0.931
