episode,avg_reward
1,5.0
2,-2.5
3,-5.0
4,-2.75
5,-1.2
6,-0.333
7,0.429
8,-2.125
9,-1.333
10,-0.8
11,-2.545
12,-1.917
13,-3.385
14,-3.857
15,-3.267
16,-4.312
17,-5.235
18,-4.722
19,-4.263
20,-4.6
21,-4.238
22,-4.636
23,-4.261
24,-5.0
25,-4.68
26,-4.346
27,-4.63
28,-4.321
29,-4.966
30,-5.467
31,-5.613
32,-5.344
33,-5.061
34,-4.824
35,-4.6
36,-4.389
37,-4.135
38,-4.0
39,-3.769
40,-3.925
41,-4.073
42,-4.476
43,-4.302
44,-4.136
45,-4.289
46,-4.13
47,-3.979
48,-4.354
49,-4.204
50,-4.04
51,-4.196
52,-4.115
53,-4.0
54,-3.907
55,-3.764
56,-3.625
57,-3.544
58,-3.69
59,-3.559
60,-3.433
61,-3.311
62,-3.194
63,-3.079
64,-2.969
65,-2.892
66,-3.045
67,-2.94
68,-2.838
69,-2.739
70,-2.643
71,-2.549
72,-2.458
73,-2.37
74,-2.486
75,-2.4
76,-2.329
77,-2.247
78,-2.179
79,-2.101
80,-2.062
81,-1.988
82,-1.915
83,-2.145
84,-2.071
85,-2.0
86,-2.105
87,-2.322
88,-2.239
89,-2.157
90,-2.078
91,-2.165
92,-2.25
93,-2.172
94,-2.138
95,-2.063
96,-1.99
97,-1.918
98,-1.847
99,-1.778
100,-1.71
101,-1.663
102,-1.745
103,-1.68
104,-1.625
105,-1.705
106,-1.642
107,-1.822
108,-1.759
109,-1.835
110,-1.773
111,-1.73
112,-1.67
113,-1.611
114,-1.684
115,-1.757
116,-1.716
117,-1.675
118,-1.636
119,-1.597
120,-1.558
121,-1.521
122,-1.5
123,-1.463
124,-1.637
125,-1.616
126,-1.794
127,-1.756
128,-1.898
129,-2.085
130,-2.223
131,-2.214
132,-2.174
133,-2.233
134,-2.291
135,-2.467
136,-2.551
137,-2.496
138,-2.464
139,-2.41
140,-2.357
141,-2.305
142,-2.254
143,-2.378
144,-2.326
145,-2.31
146,-2.432
147,-2.551
148,-2.5
149,-2.483
150,-2.433
151,-2.384
152,-2.355
153,-2.307
154,-2.26
155,-2.213
156,-2.167
157,-2.121
158,-2.171
159,-2.126
160,-2.25
161,-2.298
162,-2.346
163,-2.307
164,-2.28
165,-2.267
166,-2.229
167,-2.216
168,-2.262
169,-2.225
170,-2.182
171,-2.164
172,-2.122
173,-2.225
174,-2.27
175,-2.234
176,-2.199
177,-2.249
178,-2.219
179,-2.184
180,-2.233
181,-2.204
182,-2.258
183,-2.366
184,-2.332
185,-2.378
186,-2.344
187,-2.31
188,-2.277
189,-2.243
190,-2.211
191,-2.178
192,-2.224
193,-2.192
194,-2.17
195,-2.262
196,-2.23
197,-2.269
198,-2.237
199,-2.206
200,-2.175
201,-2.174
202,-2.218
203,-2.256
204,-2.245
205,-2.332
206,-2.32
207,-2.411
208,-2.375
209,-2.411
210,-2.376
211,-2.341
212,-2.307
213,-2.272
214,-2.308
215,-2.274
216,-2.241
217,-2.207
218,-2.179
219,-2.219
220,-2.277
221,-2.244
222,-2.212
223,-2.179
224,-2.259
225,-2.311
226,-2.292
227,-2.339
228,-2.333
229,-2.332
230,-2.3
231,-2.398
232,-2.496
233,-2.464
234,-2.432
235,-2.464
236,-2.432
237,-2.426
238,-2.5
239,-2.469
240,-2.5
241,-2.469
242,-2.455
243,-2.424
244,-2.393
245,-2.363
246,-2.394
247,-2.364
248,-2.347
249,-2.317
250,-2.348
251,-2.378
252,-2.468
253,-2.455
254,-2.528
255,-2.506
256,-2.477
257,-2.471
258,-2.539
259,-2.51
260,-2.488
261,-2.556
262,-2.622
263,-2.601
264,-2.58
265,-2.558
266,-2.538
267,-2.517
268,-2.552
269,-2.632
270,-2.681
271,-2.716
272,-2.765
273,-2.747
274,-2.73
275,-2.76
276,-2.804
277,-2.791
278,-2.853
279,-2.842
280,-2.825
281,-2.904
282,-3.007
283,-2.996
284,-2.979
285,-2.986
286,-3.052
287,-3.111
288,-3.101
289,-3.097
290,-3.131
291,-3.11
292,-3.099
293,-3.078
294,-3.058
295,-3.051
296,-3.108
297,-3.172
298,-3.154
299,-3.137
300,-3.117
301,-3.193
302,-3.248
303,-3.228
304,-3.211
305,-3.256
306,-3.229
307,-3.212
308,-3.185
309,-3.207
310,-3.181
311,-3.161
312,-3.183
313,-3.157
314,-3.15
315,-3.124
316,-3.146
317,-3.12
318,-3.101
319,-3.122
320,-3.144
321,-3.202
322,-3.189
323,-3.17
324,-3.151
325,-3.142
326,-3.123
327,-3.119
328,-3.104
329,-3.091
330,-3.118
331,-3.172
332,-3.148
333,-3.123
334,-3.144
335,-3.164
336,-3.185
337,-3.169
338,-3.24
339,-3.236
340,-3.224
341,-3.22
342,-3.246
343,-3.294
344,-3.288
345,-3.267
346,-3.289
347,-3.337
348,-3.333
349,-3.324
350,-3.314
351,-3.365
352,-3.398
353,-3.38
354,-3.362
355,-3.338
356,-3.371
357,-3.347
358,-3.366
359,-3.384
360,-3.408
361,-3.454
362,-3.439
363,-3.474
364,-3.464
365,-3.529
366,-3.511
367,-3.493
368,-3.47
369,-3.515
370,-3.532
371,-3.55
372,-3.608
373,-3.59
374,-3.572
375,-3.651
376,-3.633
377,-3.682
378,-3.661
379,-3.644
380,-3.624
381,-3.604
382,-3.584
383,-3.603
384,-3.583
385,-3.566
386,-3.549
387,-3.532
388,-3.515
389,-3.56
390,-3.582
391,-3.563
392,-3.582
393,-3.562
394,-3.543
395,-3.524
396,-3.505
397,-3.524
398,-3.503
399,-3.484
400,-3.465
401,-3.481
402,-3.46
403,-3.442
404,-3.421
405,-3.4
406,-3.416
407,-3.396
408,-3.377
409,-3.418
410,-3.398
411,-3.38
412,-3.359
413,-3.4
414,-3.44
415,-3.422
416,-3.438
417,-3.456
418,-3.44
419,-3.422
420,-3.467
421,-3.449
422,-3.491
423,-3.47
424,-3.453
425,-3.468
426,-3.484
427,-3.466
428,-3.451
429,-3.469
430,-3.488
431,-3.541
432,-3.523
433,-3.506
434,-3.488
